Incident,change,date,year,month,day,time,hour,addr,lon,lat,zip,nature,all,all2
2011002174,n,1/4/11,2011,01,Tuesday,22:20:57,22,3801 EAGLE VIEW CT-CO,-92.394755,38.86827,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jan-04-2011<br\>Time: 22:20<br\>Address: 3801 EAGLE VIEW CT-CO,Incident: SF-SHOTS FIRED Date: Jan-04-2011 Time: 22:20 Address: 3801 EAGLE VIEW CT-CO
2011240073,y,12/27/11,2011,12,Tuesday,17:35:34,17,6603 MADISON CREEK DR-CO,-92.380744,38.877908,65203,FW-FIREWORKS,Incident: FW-FIREWORKS<br\>Date: Dec-27-2011<br\>Time: 17:35<br\>Address: 6603 MADISON CREEK DR-CO,Incident: FW-FIREWORKS Date: Dec-27-2011 Time: 17:35 Address: 6603 MADISON CREEK DR-CO
2010155386,n,8/6/10,2010,08,Friday,3:21:41,03,1409 KEEGAN CT-CO,-92.361476,38.88148,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Aug-06-2010<br\>Time: 03:21<br\>Address: 1409 KEEGAN CT-CO,Incident: SF-SHOTS FIRED Date: Aug-06-2010 Time: 03:21 Address: 1409 KEEGAN CT-CO
2013152325,n,8/12/13,2013,08,Monday,19:29:10,19,6004 DORNAGH CT-CO,-92.36109,38.883511,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Aug-12-2013<br\>Time: 19:29<br\>Address: 6004 DORNAGH CT-CO,Incident: SF-SHOTS FIRED Date: Aug-12-2013 Time: 19:29 Address: 6004 DORNAGH CT-CO
2011044820,n,3/12/11,2011,03,Saturday,16:52:35,16,1405 GLASGOW DR-CO,-92.361582,38.884477,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Mar-12-2011<br\>Time: 16:52<br\>Address: 1405 GLASGOW DR-CO,Incident: SF-SHOTS FIRED Date: Mar-12-2011 Time: 16:52 Address: 1405 GLASGOW DR-CO
2013098101,n,5/26/13,2013,05,Sunday,23:19:20,23,300 BROOKSIDE LN W-CO,-92.347843,38.886629,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: May-26-2013<br\>Time: 23:19<br\>Address: 300 BROOKSIDE LN W-CO,Incident: SF-SHOTS FIRED Date: May-26-2013 Time: 23:19 Address: 300 BROOKSIDE LN W-CO
2011165015,n,9/4/11,2011,09,Sunday,20:06:22,20,1308 STONEHAVEN RD-CO,-92.359163,38.887237,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Sep-04-2011<br\>Time: 20:06<br\>Address: 1308 STONEHAVEN RD-CO,Incident: SF-SHOTS FIRED Date: Sep-04-2011 Time: 20:06 Address: 1308 STONEHAVEN RD-CO
2011207379,n,11/8/11,2011,11,Tuesday,16:31:09,16,132 POPLAR HILL DR E-CO,-92.343279,38.887598,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Nov-08-2011<br\>Time: 16:31<br\>Address: 132 POPLAR HILL DR E-CO,Incident: SF-SHOTS FIRED Date: Nov-08-2011 Time: 16:31 Address: 132 POPLAR HILL DR E-CO
2012133908,n,7/11/12,2012,07,Wednesday,22:59:53,22,132 POPLAR HILL DR E-CO,-92.343279,38.887598,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jul-11-2012<br\>Time: 22:59<br\>Address: 132 POPLAR HILL DR E-CO,Incident: SF-SHOTS FIRED Date: Jul-11-2012 Time: 22:59 Address: 132 POPLAR HILL DR E-CO
2013037459,n,2/26/13,2013,02,Tuesday,16:20:15,16,132 POPLAR HILL DR E-CO,-92.343279,38.887598,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Feb-26-2013<br\>Time: 16:20<br\>Address: 132 POPLAR HILL DR E-CO,Incident: SF-SHOTS FIRED Date: Feb-26-2013 Time: 16:20 Address: 132 POPLAR HILL DR E-CO
